ID	CTR001	CTR002	CTR003	CTR004	CTR005	CTR006	CTR007	CTR009	CTR010	CTR012	CTR013	CTR014	CTR016	CTR017	CTR018	CTR019	PSP001	PSP002	PSP003	PSP004	PSP005	PSP006	PSP007	PSP008	PSP009	PSP010	PSP011	PSP012	PSP013	PSP014	PSP015	PSP016	PSP017	PSP018	PSP019	PSP020	PSP021	PSP022	PSP023	PSP024	PSP025
ENSG00000141401	5.03177342	5.631914633	5.195561048	4.91781357	4.579385817	5.74347923	5.220016391	5.550441572	4.842796676	5.879586745	4.667184067	5.968286942	4.830442251	5.10476042	5.475489273	5.232540049	5.884364878	5.433174335	4.950818604	5.711297012	5.028801938	5.255972381	5.03534914	5.695290717	5.565436548	4.977740694	4.051295543	5.09352656	5.307489591	5.584733889	5.701187588	5.790928704	4.306067835	5.354186105	4.970139247	4.869665855	5.46269367	5.315575705	4.415297581	4.808246572	5.531794422
ENSG00000106636	5.540131787	5.610481935	5.558358181	5.363816386	5.537196515	5.676377227	5.601971983	5.515709391	5.432385508	5.560018758	5.569906505	5.793183691	5.456364894	5.494414896	5.390786938	5.407294617	5.832513731	5.288543256	5.414775596	5.68394099	5.636134187	5.580218542	5.510372939	5.482570619	5.621724823	5.485107697	5.282578728	5.559486649	5.516008861	5.654044642	5.52795418	5.538356242	5.074332815	5.479935627	5.490350089	5.390500694	5.566591859	5.620490581	5.414023067	5.505857936	5.547325859
ENSG00000170345	6.898681887	6.258641066	6.484733951	6.172466122	5.545380278	6.916071281	6.320364588	6.476123844	6.133895908	6.888190195	6.395907271	7.257595613	5.670369341	6.314870753	6.634522577	6.007644541	6.994297891	6.605462333	6.469348219	6.804953073	7.467892273	6.702791973	6.239073959	6.900932853	6.4623327	6.345997195	5.414250313	6.484359974	6.530863645	6.964532897	7.502175771	7.301254662	5.08819942	6.345017285	6.445680636	6.569159486	6.550867421	6.423867082	6.308902732	5.950417405	6.54843565
ENSG00000171236	6.576542296	5.435500346	6.406708211	5.568916158	4.248042255	6.776894199	5.780172163	5.44698679	6.170067737	6.968226284	6.119124553	6.973667641	5.583881442	5.939689256	5.920296804	5.703797323	6.847729596	6.58348749	6.1049447	6.270206625	6.725585676	6.002941843	5.950559911	7.110291925	5.680323198	6.286540421	4.817263798	6.092833259	6.097979233	7.046685605	7.517495369	6.628131696	4.489661268	5.897624602	5.625368686	5.558740112	6.627706918	5.469337089	5.452259704	5.636181165	6.768485447
ENSG00000293456	1.971099628	1.499496769	2.37086589	1.511953387	0.959091603	2.286605939	1.833485398	1.824005065	1.87217201	2.879847869	2.09430765	2.98076763	2.021919232	1.964131854	2.002216679	1.890175995	2.860612192	2.183794695	1.988343255	2.076828017	2.814651998	2.049304683	1.778563613	3.11061852	1.69382142	2.307429712	0.51897957	2.392835299	1.95774923	2.358572177	4.041314536	2.214721675	0.714193385	1.996252719	1.550939543	1.757388821	2.642455588	1.623332891	1.507546961	1.291234512	2.577803019
ENSG00000185000	4.941751893	4.723521189	4.941180681	4.746832941	4.667717009	5.510546934	4.785074023	4.768452562	4.49379798	5.109977374	4.448976843	5.300568857	4.148781565	4.844318175	4.705934079	4.454164334	5.332799499	4.810535947	4.775737543	5.139197686	4.744317232	5.15464298	4.90755568	5.018287405	4.619905041	4.903968875	4.630387435	4.697206547	4.833752958	4.833694821	5.096159361	4.945435319	4.347011862	4.562692932	4.439955597	4.697658039	4.958944595	4.762035278	4.445940737	4.471666438	4.805783095
ENSG00000135740	-0.933228388	-0.572976083	-0.893731909	-0.135433567	0.422537364	0.107547084	-0.770707662	-0.859910837	-0.132698751	-0.913523789	0.293656022	-0.090534928	-0.278629635	0.349958007	0.204170448	0.129568042	-0.189457343	0.191123982	-0.373790532	-0.165544611	-0.17521438	-0.15313207	-0.698588473	-0.177554394	-0.821208938	-0.07139733	0.285533718	-0.051719309	0.687764571	0.284323179	-0.149860564	-0.512094397	-0.014826308	-0.729908933	-0.129765613	-0.05941275	-0.134603492	-0.113470355	0.242227138	0.203928322	-0.523196024
ENSG00000286488	4.459034068	4.498838586	4.829067399	4.099452061	3.517776789	4.789019708	4.987107495	4.497820172	4.115207346	5.608090705	4.821609551	5.654985678	4.704928703	4.80611842	4.976837238	4.484197017	4.983469645	4.543427026	4.673161027	4.604221909	5.072774718	4.801671791	4.71675443	4.62922464	4.573092002	4.528889919	4.365964395	4.198628474	4.655417044	5.133333981	4.429289444	4.978178518	4.364209727	4.572993477	4.73780819	4.551038769	4.766928499	4.783918277	4.251485145	4.236203792	4.574710267
ENSG00000288156	5.165055522	5.37924866	5.582824579	5.098724837	5.026227804	5.883675781	5.183919837	5.406195102	5.235933784	5.877805215	5.393060255	6.126911195	5.157869808	5.533350883	5.673737051	5.473668177	6.086042289	5.339548042	5.578111967	5.976904331	5.651345125	5.434285183	5.33765882	5.888574738	5.408964521	5.621078001	4.792402176	5.508217451	5.426678371	5.759893504	6.329341926	5.652882583	4.790363451	5.363116993	5.244003996	5.169147782	5.5807165	5.359956654	5.288608096	5.038196998	5.668744775
ENSG00000115421	6.100730708	5.824494365	5.839911929	5.750536997	5.461375406	5.740024285	5.784196212	5.711173269	5.847870945	5.868864413	5.778613013	5.998537811	5.807041087	5.734163043	5.791304487	5.733273956	5.815920488	5.776588576	5.919322202	5.706126176	5.792950968	5.860970457	5.916935483	5.743595002	5.579715841	5.863267387	5.575139209	5.721995034	5.658120615	5.803554813	6.163963008	5.681568783	5.543075689	5.730545145	5.73864782	5.723628264	5.711635743	5.872070346	5.707519368	5.771994834	5.790337817
ENSG00000281501	2.947370049	3.110833611	3.23941725	3.0443075	3.229342726	2.960459669	3.193970249	3.097129291	3.329084192	3.286649666	2.986151502	3.002642356	3.326749861	3.024595697	2.510325255	3.35598885	3.303033623	2.904455406	3.13433584	3.100463433	3.192828331	3.08678279	3.244456487	2.809945184	3.250278763	2.033239032	3.07793855	3.181578848	2.729449574	-3.396844762	2.999574142	2.214721675	3.629776149	3.1400662	3.245252376	2.977714855	3.134106432	3.398577349	3.378670825	2.178575084	3.160494339
ENSG00000177082	4.267278371	4.474069272	4.40949297	4.314615561	4.590727537	4.425954444	4.407088829	4.255266139	4.338237534	4.428209826	4.212236648	4.262337378	4.44596508	4.347831078	4.664440081	4.708544531	4.35239349	4.045727055	4.293495432	4.116041684	4.139308962	4.336558108	4.2530738	4.419874846	4.118190129	4.436770655	4.382717428	4.335897639	4.272563418	4.346662236	4.110297628	4.184424486	4.628983935	4.265263757	4.266627686	4.592996096	4.508906488	4.137154894	4.211915597	4.5535392	4.554357142
ENSG00000267348	-1.351945198	-1.180125642	-0.358436653	-1.049151453	-0.517167454	-0.284366282	-0.376458553	-0.859910837	0.182682059	-0.913523789	0.072823231	-1.263428245	0.249858746	-0.66402709	-0.26032723	0.129568042	-0.421587031	-0.693629828	-0.975546142	-0.952610323	-0.904506614	-0.189428977	-0.218568417	-1.251781033	-0.821208938	-0.07139733	-0.493254962	-0.545418818	0.05983072	-0.267718277	-0.285077035	-1.00255373	0.481835721	0.037420462	-0.033594603	0.477171808	-0.69082716	-0.398821844	-0.464417756	-0.805294685	-0.15822817
ENSG00000226989	-0.173856656	0.407613197	0.031110945	-0.332966421	-0.300527645	-0.361440915	-0.560157616	-1.153148564	-0.389215451	0.488289844	-0.697011386	-0.361476004	-0.540348447	0.084137406	-0.681580837	0.486826437	0.342478988	-1.136862927	-0.176977543	-0.021342092	-0.248607684	-0.189428977	-0.871240038	-0.5176842	-0.821208938	-0.586137896	-0.338796648	0.163647567	-0.229614593	0.284323179	0.291481824	-1.00255373	0.563517651	-1.919894757	-0.464005518	-0.514078256	-0.089171703	-1.540499779	-0.068255888	-0.302407776	0.042162199
ENSG00000254676	0.932713404	1.43934809	0.805017133	1.080088189	0.93081131	0.54777933	0.97643868	1.085298784	0.518182334	1.040332579	1.067357132	1.278957536	1.039344465	0.813180331	0.447251796	0.897200116	1.208264098	1.10812707	1.300875325	1.108934547	0.706998637	1.191926599	0.900829306	0.930243083	1.29282804	0.854787079	1.497976646	1.562184148	0.05983072	1.296839065	0.702299074	1.212823225	0.395250134	0.695055332	1.120379694	1.174231984	1.243686211	1.001881981	1.183133759	0.90133121	1.221309105
ENSG00000288558	1.535194682	1.242211971	1.233667085	1.106346024	0.959091603	0.981428282	1.242873421	1.501424459	0.909109799	1.399425175	0.654143968	1.230345913	1.247575711	1.41607072	1.798095585	1.477483671	0.785841483	1.233835833	1.087718772	1.108934547	1.353257486	1.352021183	1.672471129	0.894658644	1.62204744	1.756702211	1.211649241	1.162525364	1.300679651	0.907729034	1.021689081	1.010619341	0.640821705	1.868274135	1.077953046	1.228479251	1.113722501	1.322080426	1.183133759	1.461640196	0.84595837
ENSG00000218596	1.485083696	1.119807608	0.510739995	1.157470049	0.780443992	0.981428282	0.97643868	1.39425821	1.581220159	0.93461917	1.388189517	1.302662595	1.101967892	1.554178397	1.143463812	1.797535931	1.208264098	1.086067921	1.844708605	0.907422676	0.955980441	0.860262367	1.191642886	0.380778864	1.197279988	0.606821028	1.177919316	1.531505652	0.185338612	1.202898637	0.291481824	0.594124093	1.81212305	1.487633065	1.386845971	1.472776858	1.670844222	1.273409521	1.321767407	1.795006899	1.887631867
ENSG00000121753	-0.228554939	0.566019361	0.55097849	0.540060866	0.682075595	1.042539296	0.649395009	0.274674403	0.441335042	-0.728467552	0.392567371	0.287573995	-0.540348447	0.979330547	0.748946999	0.955533133	-0.421587031	0.970410059	-0.305159338	0.630087067	0.085895292	0.89534519	-0.218568417	0.380778864	0.255808302	0.464776774	0.464063141	0.516796714	0.922203046	-0.650569232	-0.026238332	0.144542121	-1.956587336	1.030181915	0.5038623	-0.704233069	-0.045127031	0.421234556	0.437853419	0.475586269	-0.918892073
